question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images,category
"ข้อใดถูกต้องในขณะขับรถ",ในขณะขับรถ ผู้ขับรถต้องมีใบอนุญาตขับรถ และสำเนาภาพถ่ายใบคู่มือจดทะเบียนรถ,ผู้ขับรถต้องมีสำเนาใบอนุญาตขับรถ และใบคู่มือจดทะเบียนรถ,false,ผู้ขับรถต้องมีใบอนุญาตขับรถ และใบคู่มือจดทะเบียนรถ,false,ผู้ขับรถต้องมีใบอนุญาตขับรถ และสำเนาภาพถ่ายใบคู่มือจดทะเบียนรถ,true,ผู้ขับรถต้องมีสำเนาใบอนุญาตขับรถ และสำเนาใบคู่มือจดทะเบียนรถ,false,[  ],กฎหมายว่าด้วยรถยนต์
"ข้อใดถูกต้อง",ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถยนต์ส่วนบุคคลได้,ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,false,ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถยนต์ส่วนบุคคลได้,true,ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถยนต์สามล้อส่วนบุคคลได้,false,ใบอนุญาตขับรถยนต์สามล้อสาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,false,[  ],กฎหมายว่าด้วยรถยนต์
"ข้อใดถูกต้อง",ใบอนุญาตขับรถจักรยานยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,ใบอนุญาตขับรถจักรยานยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,true,ใบอนุญาตขับรถยนต์สามล้อสาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,false,ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,false,ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถยนต์สามล้อส่วนบุคคลได้,false,[  ],กฎหมายว่าด้วยรถยนต์
"ข้อใดถูกต้อง",ใบอนุญาตขับรถยนต์สามล้อสาธารณะ ใช้แทน ใบอนุญาตขับรถยนต์สามล้อส่วนบุคคลได้,ใบอนุญาตขับรถยนต์สามล้อสาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,false,ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถยนต์สามล้อส่วนบุคคลได้,false,ใบอนุญาตขับรถยนต์สาธารณะ ใช้แทน ใบอนุญาตขับรถจักรยานยนต์ส่วนบุคคลได้,false,ใบอนุญาตขับรถยนต์สามล้อสาธารณะ ใช้แทน ใบอนุญาตขับรถยนต์สามล้อส่วนบุคคลได้,true,[  ],กฎหมายว่าด้วยรถยนต์
"ใบอนุญาตขับรถส่วนบุคคลชั่วคราวมีอายุกี่ปี",ใบอนุญาตขับรถส่วนบุคคลชั่วคราวมีอายุ 1 ปี,1  ปี,true,2  ปี,false,3  ปี,false,5  ปี,false,[  ],กฎหมายว่าด้วยรถยนต์
"หากประสงค์จะเปลี่ยนประเภทใบอนุญาตขับรถยนต์ส่วนบุคคลชั่วคราวเป็นประเภทส่วนบุคคลชนิด 5 ปี ข้อใดถูกต้อง",หากประสงค์จะเปลี่ยนประเภทใบอนุญาตขับรถยนต์ส่วนบุคคลชั่วคราวเป็นประเภทส่วนบุคคลชนิด 5 ปี สามารถเปลี่ยนได้ล่วงหน้า 60 วัน,สามารถเปลี่ยนได้ล่วงหน้า 30 วัน,false,สามารถเปลี่ยนได้ล่วงหน้า 60 วัน,true,สามารถเปลี่ยนได้ล่วงหน้า 1 เดือน,false,สามารถเปลี่ยนได้ล่วงหน้า 3 เดือน,false,[  ],กฎหมายว่าด้วยรถยนต์
"ใบอนุญาตขับรถส่วนบุคคลชนิด 5 ปีต่ออายุล่วงหน้ากี่เดือน",ใบอนุญาตขับรถส่วนบุคคลชนิด 5 ปีต่ออายุล่วงหน้า 3 เดือน,1 เดือน,false,3 เดือน,true,4 เดือน,false,6 เดือน,false,[  ],กฎหมายว่าด้วยรถยนต์
"นาย ก เกิดที่จังหวัดเชียงใหม่ ประสงค์ขอรับใบอนุญาตขับรถยนต์ส่วนบุคคลชั่วคราว จะต้องไปดำเนินการที่ใด",นาย ก เกิดที่จังหวัดเชียงใหม่ ประสงค์ขอรับใบอนุญาตขับรถยนต์ส่วนบุคคลชั่วคราว จะต้องไปดำเนินการที่สำนักงานขนส่งจังหวัด และสำนักงานขนส่งจังหวัดสาขา ทุกแห่ง,สำนักงานขนส่งจังหวัด และสำนักงานขนส่งจังหวัดสาขา ทุกแห่ง,true,สำนักงานขนส่งจังหวัดเชียงใหม่ ยกเว้น กรุงเทพมมหานคร,false,สำนักงานขนส่งจังหวัดเชียงใหม่ ยกเว้น สำนักงานขนส่งจังหวัดยะลา สาขาอำเภอเบตง,false,ผิดทุกข้อ,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขอรับใบอนุญาตขับรถยนต์ชั่วราวต้องมีอายุกี่ปี",ผู้ขอรับใบอนุญาตขับรถยนต์ชั่วราวต้องมีอายุไม่ต่ำกว่า 18 ปี บริบูรณ์,ไม่ต่ำกว่า 15 ปี บริบูรณ์,false,ไม่ต่ำกว่า 16 ปี บริบูรณ์,false,ไม่ต่ำกว่า 17 ปี บริบูรณ์,false,ไม่ต่ำกว่า 18 ปี บริบูรณ์,true,[  ],กฎหมายว่าด้วยรถยนต์
"นายชาย พิการไม่มีนิ้วมือข้างซ้าย ประสงค์ขอรับใบอนุญาตขับรถยนต์ชั่วคราวได้หรือไม่",นายชาย พิการไม่มีนิ้วมือข้างซ้าย ประสงค์ขอรับใบอนุญาตขับรถยนต์ชั่วคราวได้ เพราะ ไม่เป็นผู้มีร่างกายพิการจนเป็นที่เห็นได้ว่าไม่สามารถขับรถได้,ไม่ได้ เพราะ นายชายเป็นผู้มีร่างกายพิการ,false,ไม่ได้ เพราะ ขัดต่อระเบียบกรมการขนส่งทางบก,false,ได้ เพราะ หากนายชายมีบัตรผู้พิการ,false,ได้ เพราะ ไม่เป็นผู้มีร่างกายพิการจนเป็นที่เห็นได้ว่าไม่สามารถขับรถได้,true,[  ],กฎหมายว่าด้วยรถยนต์
"บุคคลในข้อต่อไปนี้บุคคลใดสามารถขอรับใบอนุญาตขับรถได้",นายชาย ไม่เป็นผู้มีร่างกายพิการจนเป็นที่เห็นได้ว่าไม่สามารถขับรถได้ สามารถขอรับใบอนุญาตขับรถได้,นายชาย ไม่เป็นผู้มีร่างกายพิการจนเป็นที่เห็นได้ว่าไม่สามารถขับรถได้,true,นางหญิงเป็นบุคคลวิกลจริตหรือจิตฟั่นเฟือน,false,นายดำ เป็นผู้อยู่ระหว่างถูกยึดใบอนุญาต,false,นางแดง เป็นวัณโรค,false,[  ],กฎหมายว่าด้วยรถยนต์
"นายแดง ประสงค์ขอรับใบอนุญาตขับรถยนต์สาธารณะ ข้อใดถูกต้อง",นายแดง ประสงค์ขอรับใบอนุญาตขับรถยนต์สาธารณะ ต้องได้รับใบอนุญาตขับรถมาแล้วไม่น้อยกว่า 1 ปี ไม่เป็นผู้มีร่างกายพิการจนเป็นที่เห็นได้ว่าไม่สามารถขับรถได้และไม่เป็นบุคคลวิกลจริตหรือจิตฟั่นเฟือน,นายแดง ไม่เป็นบุคคลวิกลจริตหรือจิตฟั่นเฟือน,false,นายแดงต้องได้รับใบอนุญาตขับรถมาแล้วไม่น้อยกว่า 1 ปี,false,นายแดง ไม่เป็นผู้มีร่างกายพิการจนเป็นที่เห็นได้ว่าไม่สามารถขับรถได้,false,ถูกทุกข้อ,true,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขอรับใบอนุญาตขับรถยนต์สาธารณะต้องมีคุณสมบัติอย่างไร",ผู้ขอรับใบอนุญาตขับรถยนต์สาธารณะต้องรู้จักถนนและทางหลวงในจังหวัดที่ขอรับใบอนุญาตขับรถพอสมควร,ต้องรู้จักถนนและทางหลวงในจังหวัดที่ขอรับใบอนุญาตขับรถพอสมควร,true,อายุครบ 20 ปีบริบูรณ์,false,มีประสบการณ์ในการขับรถมาแล้วอย่างน้อย 5 ปี,false,ต้องมีใบอนุญาตขับรถจักรยานยนต์และใบอนุญาตขับรถยนต์,false,[  ],กฎหมายว่าด้วยรถยนต์
"ข้อใดถูกต้อง",ผู้ขอรับใบอนุญาตขับรถยนต์สาธารณะต้องรู้จักถนนและทางหลวงในจังหวัดที่ขอรับใบอนุญาตขับรถพอสมควร ไม่เป็นผู้ติดสุรายาเมาหรือยาเสพติดให้โทษและมีสัญชาติไทย,มีสัญชาติไทย,false,ต้องรู้จักถนนและทางหลวงในจังหวัดที่ขอรับใบอนุญาตขับรถพอสมควร,false,ไม่เป็นผู้ติดสุรายาเมาหรือยาเสพติดให้โทษ,false,ถูกทุกข้อ,true,[  ],กฎหมายว่าด้วยรถยนต์
"หากปรากฏภายหลังว่าเป็นผู้ขาดคุณสมบัติในการขอรับใบอนุญาตขับรถ ท่านจะปฏิบัติอย่างไร",หากปรากฏภายหลังว่าเป็นผู้ขาดคุณสมบัติในการขอรับใบอนุญาตขับรถ จะต้องแจ้งให้นายทะเบียนเพื่อเพิกถอนใบอนุญาตและนำใบอนุญาตขับรถที่ถูกเพิกถอนส่งคืนกรมการขนส่งทางบก,แจ้งให้นายทะเบียนเพื่อเพิกถอนใบอนุญาตและนำใบอนุญาตขับรถที่ถูกเพิกถอนส่งคืนกรมการขนส่งทางบก,true,แจ้งให้นายทะเบียนเพื่อเพิกถอนใบอนุญาต,false,ใช้ใบอนุญาตขับรถนั้นต่อไป,false,นำใบอนุญาตขับรถที่ถูกเพิกถอนส่งคืน,false,[  ],กฎหมายว่าด้วยรถยนต์
"กรณีถูกพักใช้ใบอนุญาตขับรถมีสิทธิอุทธรณ์ได้ภายในกี่วัน",กรณีถูกพักใช้ใบอนุญาตขับรถมีสิทธิอุทธรณ์ได้ภายใน 15 วัน,30 วัน,false,15 วัน,true,45 วัน,false,60 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"กรณีถูกเพิกถอนใบอนุญาตขับรถมีสิทธิอุทธรณ์ได้ภายในกี่วัน",กรณีถูกเพิกถอนใบอนุญาตขับรถมีสิทธิอุทธรณ์ได้ภายใน 15 วัน,45 วัน,false,30 วัน,false,15 วัน,true,60 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"กรณีถูกพักใช้หรือเพิกถอนใบอนุญาตขับรถมีสิทธิอุทธรณ์ได้ภายในกี่วัน",กรณีถูกพักใช้หรือเพิกถอนใบอนุญาตขับรถมีสิทธิอุทธรณ์ได้ภายใน 15 วัน,15 วัน,true,30 วัน,false,60 วัน,false,90 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ได้รับใบอนุญาตขับรถที่ถูกสั่งเพิกถอนใบอนุญาตขับรถต้องส่งคืนใบอนุญาตขับรถให้แก่นายทะเบียนภายในกี่วัน",ผู้ได้รับใบอนุญาตขับรถที่ถูกสั่งเพิกถอนใบอนุญาตขับรถต้องส่งคืนใบอนุญาตขับรถให้แก่นายทะเบียนภายใน 15 วัน,30 วัน,false,15 วัน,true,60 วัน,false,90 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"ใบอนุญาตขับรถสูญหายต้องแจ้งนายทะเบียนภายในกี่วันนับแต่วันทราบเหตุนั้น",ใบอนุญาตขับรถสูญหายต้องแจ้งนายทะเบียนภายใน 15 วันนับแต่วันทราบเหตุนั้น,15 วัน,true,30 วัน,false,60 วัน,false,90 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"ใบอนุญาตขับรถชำรุดในสาระสำคัญต้องแจ้งนายทะเบียนภายในกี่วันนับแต่วันทราบเหตุนั้น",ใบอนุญาตขับรถชำรุดในสาระสำคัญต้องแจ้งนายทะเบียนภายใน 15 วันนับแต่วันทราบเหตุนั้น,30 วัน,false,15 วัน,true,60 วัน,false,90 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"เมื่อกระทำผิดตามกฎหมายว่าด้วยรถยนต์ และได้รับคำสั่งผู้ตรวจการรถยนต์ให้ไปรายงานตัวผู้ขับรถจะต้องไปรายงานตัวต่อนายทะเบียนภายในกี่วัน",เมื่อกระทำผิดตามกฎหมายว่าด้วยรถยนต์ และได้รับคำสั่งผู้ตรวจการรถยนต์ให้ไปรายงานตัวผู้ขับรถจะต้องไปรายงานตัวต่อนายทะเบียนภายใน 7 วัน,7 วัน,true,3 วัน,false,10 วัน,false,15 วัน,false,[  ],กฎหมายว่าด้วยรถยนต์
"กรณีใดผู้ขับรถยนต์สาธารณะสามารถปฎิเสธไม่รับจ้างบรรทุกคนโดยสารได้",ผู้ขับรถยนต์สาธารณะสามารถปฎิเสธไม่รับจ้างบรรทุกคนโดยสารได้กรณีผู้โดยสารเมาสุรา ผู้โดยสารนำทุเรียนส่งกลิ่นขึ้นมาบนรถและผู้โดยสารเป็นบุคคลวิกลจริต,ผู้โดยสารเป็นบุคคลวิกลจริต,false,ผู้โดยสารเมาสุรา,false,ผู้โดยสารนำทุเรียนส่งกลิ่นขึ้นมาบนรถ,false,ถูกทุกข้อ,true,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถยนต์สาธารณะต้องปฏิบัติอย่างไร",ผู้ขับรถยนต์สาธารณะต้องพาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่ตกลงกันไว้,พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่ตกลงกันไว้,true,ไม่พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่สั้นที่สุด,false,ไม่พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่เร็วที่สุด,false,พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่อ้อม,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถยนต์สาธารณะต้องปฏิบัติอย่างไร",ผู้ขับรถยนต์สาธารณะต้องพาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่สั้นที่สุด,พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่สั้นที่สุด,true,ไม่พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่ตกลงกันไว้,false,ไม่พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่เร็วที่สุด,false,พาผู้โดยสารไปยังสถานที่ที่ว่าจ้างตามเส้นทางที่อ้อม,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ผู้ขับรถผู้ขับรถสาธารณะต้องไม่สูบบุหรี่,ปฎิเสธผู้โดยสารในเส้นทางที่จราจรติดขัด,false,ไม่สูบบุหรี่,true,ใช้ใบอนุญาตขับรถยนต์ส่วนบุคคลแทนเมื่อใบอนุญาตขับรถยนต์สาธารณะขาดอายุ,false,เปิดวิทยุเสียงดังเพื่อให้ผู้โดยสารฟังแก้เครียด,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ผู้ขับรถสาธารณะต้องไม่ทำตนน่าลำคาญ,เปิดวิทยุเสียงดังเพื่อให้ผู้โดยสารฟังแก้เครียด,false,พูดคุยเสียงดังรบกวนผู้อื่น,false,ไม่ทำตนน่ารำคาญ,true,สูบบุหรี่แก้เครียดเวลารถติด,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ผู้ขับรถสาธารณะต้องไม่กล่าววาจาไม่สุภาพ เสียดสี,สูบบุหรี่แก้เครียดเวลารถติด,false,พูดคุยเสียงดัง,false,ใส่เสื้อยืดขับรถ,false,ไม่กล่าววาจาไม่สุภาพ เสียดสี,true,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ผู้ขับรถสาธารณะต้องไม่ก้าวร้าว ดูหมิ่นผู้โดยสาร,ไม่ก้าวร้าว ดูหมิ่นผู้โดยสาร,true,พูดคุยเสียงดัง,false,ใส่เสื้อยืดขับรถ,false,สูบบุหรี่แก้เครียดเวลารถติด,false,[  ],กฎหมายว่าด้วยรถยนต์
"ในขับรถผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ในขับรถผู้ขับรถสาธารณะต้องไม่เสพสุราของมึนเมา,สูบบุหรี่แก้เครียดเวลารถติด,false,ตักเตือนผู้โดยสารเมื่อแต่งกายไม่สุภาพ,false,ใส่เครื่องแบบพนักงานขับรถในเส้นทางที่เจ้าหน้าที่ตั้งด่านตรวจประจำ,false,ไม่เสพสุราของมึนเมา,true,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ผู้ขับรถสาธารณะต้องไม่เสพยาเสพติดให้โทษ,เปิดวิทยุเสียงดังเพื่อให้ผู้โดยสารฟังแก้เครียด,false,ไม่เสพยาเสพติดให้โทษ,true,จอดรถตามความต้องการข้องผู้ดดยสาร,false,สูบบุหรี่แก้เครียดเวลารถติด,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ผู้ขับรถสาธารณะต้องไม่เสพวัตถุออกฤทธิ์ต่อจิตประสาท,ไม่เสพวัตถุออกฤทธิ์ต่อจิตประสาท,true,ขับด้วยความเร็วเมื่อผู้โดยสารเร่งรีบ,false,ตามใจผู้โดยสารเพื่อให้ถึงจุดหมายให้เร็วที่สุด,false,สูบบุหรี่แก้เครียดเวลารถติด,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร",ผู้ขับรถสาธารณะต้องไม่ขับรถในขณะหย่อนความสามารถ,ชวนผู้โดยสารคุยเพื่อความเป็นกันเอง,false,เมื่อง่วงก็ขออนุญาตผู้โดยสารจอดนอน,false,ไม่ขับรถในขณะหย่อนความสามารถ,true,แจกหมายเลขโทรศัพท์เพื่อหาลูกค้า,false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ใดขับรถโดยไม่ได้รับใบอนุญาตขับรถมีโทษอย่างไร","ผู้ใดขับรถโดยไม่ได้รับใบอนุญาตขับรถมีโทษ จำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ","จำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",true,"ปรับไม่เกิน 1,000 บาท",false,"จำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",false,"ปรับไม่เกิน 2,000 บาท",false,[  ],กฎหมายว่าด้วยรถยนต์
"ผู้ใดขับรถโดยใบอนุญาตขับรถสิ้นอายุมีโทษอย่างไร","ผู้ใดขับรถโดยใบอนุญาตขับรถสิ้นอายุมีโทษ ปรับไม่เกิน 2,000 บาท","ปรับไม่เกิน 1,000 บาท",false,"จำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",false,"จำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 1,000 บาท หรือทั้งจำทั้งปรับ",false,"ปรับไม่เกิน 2,000 บาท",true,[  ],กฎหมายว่าด้วยรถยนต์
"นาย ก ใช้รถยนต์มาแล้วเป็นปีที่ 6 ประสงค์จะเสียภาษีรถประจำปีต้องใช้เอกสารใดในการชำระภาษีรถ","นาย ก ใช้รถยนต์มาแล้วเป็นปีที่ 6 ประสงค์จะเสียภาษีรถประจำปีต้องใช้ใบรับรองการผ่านตรวจสภาพเอกชน , พ.ร.บ. คุ้มครองผู้ประสบภัยจากรถ ในการชำระภาษี","ใบรับรองการผ่านตรวจสภาพเอกชน , พ.ร.บ. คุ้มครองผู้ประสบภัยจากรถ, คู่มือจดทะเบียนรถ",false,"ใบรับรองการผ่านตรวจสภาพเอกชน , พ.ร.บ. คุ้มครองผู้ประสบภัยจากรถ",true,"ใบรับรองการผ่านตรวจสภาพเอกชน, คู่มือจดทะเบียนรถ",false,"ใบรับรองการผ่านตรวจสภาพเอกชน , พ.ร.บ. คุ้มครองผู้ประสบภัยจากรถ, สำเนาคู่มือจดทะเบียนรถ",false,[  ],กฎหมายว่าด้วยรถยนต์
"เมื่อรถทะเบียนระงับ หากประสงค์จะจดทะเบียนรถใหม่ต้องนำรถไปตรวจสภาพรถที่ใด",เมื่อรถทะเบียนระงับ หากประสงค์จะจดทะเบียนรถใหม่ต้องนำรถไปตรวจสภาพรถที่สำนักงานขนส่งจังหวัดในภูมิลำเนาที่ประสงค์จดทะเบียนรถ,สำนักงานขนส่งจังหวัดในภูมิลำเนาที่ประสงค์จดทะเบียนรถ,true,สถานตรวจสภาพเอกชนในภูมิลำเนาที่ประสงค์จดทะเบียนรถ,false,สำนักงานขนส่งจังหวัดหรือสาขาในภูมิลำเนาที่ประสงค์จดทะเบียนรถ,false,ไม่สามารถจดทะเบียนรถได้เนื่องจากทะเบียนระงับแล้ว,false,[  ],กฎหมายว่าด้วยรถยนต์
"ประกันภัยชนิดใดใช้ประกอบการต่ออายุภาษีประจำปี",ประกันภัยชนิด คุ้มครองผู้ประสบภัยจากรถ ใช้ประกอบการต่ออายุภาษีประจำปี,ประกันภัยชนิด 1,false,ประกันภัยชนิด 2,false,ประกันภัยชนิด 3,false,ประกันภัยชนิด คุ้มครองผู้ประสบภัยจากรถ,true,[  ],กฎหมายว่าด้วยรถยนต์
